OBJECTID,NameInt,GlobalID,Seg_ID_Score,Seg_Bk_Score,Seg_LL_Score,Seg_Wd_Score,GridNormScore,CSScore,Pop2015,Ones,Twos,Threes,GridScrRounded
325,1513,14955a1d-e6f5-403f-bcfb-15b8ef08b76e,2,14,15,3,34.42623,1.211538,3889.886522,13,18,3,3
326,414,0b90fe12-4bee-4a16-8c0d-be2f1feb0490,0,1,0,1,3.278689,0.115385,1075.946985,5,2,0,1
327,1453,032ed890-f0bd-43e1-8fb3-6e6c9f6cf952,0,4,2,1,9.836066,0.346154,2182.000569,20,6,0,1
328,1955,b881bb5d-4318-4d9d-ae0a-18a9d9ff3ca3,2,13,3,3,22.95082,0.807692,2053.296219,22,11,3,1
329,2189,0cd53266-464d-4ac7-93c9-d4ca6186f9ff,2,5,9,0,19.672131,0.692308,3692.770386,36,10,2,1
330,1514,6133a038-e6db-4848-b6af-b7a250663734,0,6,7,1,11.47541,0.403846,3614.446063,1,7,0,1
331,415,e8c19c9b-f2bb-4178-904e-91557a486cc7,0,11,5,5,22.95082,0.807692,4599.871201,5,14,0,1
332,1454,ba57eb61-824f-4cf5-9fb9-bb6550efc68a,0,5,6,6,19.672131,0.692308,4284.125699,24,12,0,1
333,218,a5ca1553-8b91-4391-8d07-391c9ff0327a,1,5,3,0,14.754098,0.519231,4933.938874,28,8,1,1
334,1956,0a8d76b4-efcd-4355-971b-22c7237e2d70,2,5,1,1,9.836066,0.346154,1719.806009,12,4,2,1
335,1515,7c9a6671-85a2-4ddc-bad0-2a374fbfba65,1,10,10,3,21.311475,0.75,4492.952686,2,12,1,1
336,1958,8fcd3404-1709-40be-a370-1f4344327fba,1,3,1,0,4.918033,0.173077,4464.46699,31,2,1,1
337,1455,d4c37987-a613-43f5-9101-c628aca5a7e1,1,8,0,3,16.393443,0.576923,5164.877436,55,9,1,1
338,2196,5cdf335f-23ec-43ce-97be-d1258d545e5e,0,7,0,0,11.47541,0.403846,3520.680996,94,7,0,1
339,416,01fa62e8-8482-428b-a052-1873dd3fb2cd,0,4,1,4,13.114754,0.461538,2734.648768,30,8,0,1
340,1516,383e2908-23c3-4ddc-9a22-8b4e995868a9,3,12,14,8,22.95082,0.807692,2953.000534,0,10,4,1
341,1959,76891e24-6aa3-4565-92e7-4da968add2ab,1,7,0,0,11.47541,0.403846,5442.774073,29,6,1,1
342,1517,02c04236-92a2-4aa8-8783-41e1c78c64a0,1,11,6,5,22.95082,0.807692,2927.079909,11,12,2,1
343,2197,fccbdf40-0ca3-4511-8967-2960a261c3e1,0,2,0,0,3.278689,0.115385,1656.273888,29,2,0,1
344,195,216ed234-0a62-4533-baa8-a190dbec0e77,0,0,5,2,8.196721,0.288462,682.383334,35,5,0,1
345,1456,b580e3ee-918c-4ff1-8cbe-776dc5c66367,1,8,1,0,13.114754,0.461538,4617.333498,15,7,1,1
346,1457,b8b8cc34-ec08-4714-9cc0-eafcfa6c502e,2,4,0,3,9.836066,0.346154,3255.136899,45,4,2,1
347,1519,65de01ad-4d9d-4a87-8571-0eabcb1d9b2e,1,8,8,3,18.032787,0.634615,4453.571773,7,7,4,1
348,417,26b0028d-52c0-4044-b947-c0444b7a17a1,1,9,2,5,22.95082,0.807692,1999.631406,53,13,1,1
349,1961,f922544d-f4ac-4d1b-a7bd-f481b11eded3,2,8,8,10,19.672131,0.692308,3083.184116,10,10,2,1
350,2198,736e7720-43ed-4315-b2ce-bbeecead1aab,0,0,0,2,3.278689,0.115385,239.157745,14,2,0,1
351,1185,1aebb509-6753-4546-b5af-1093fe26648b,0,0,0,0,0,0,202.596499,,,0,1
352,1962,a3969973-9b08-42de-88cd-270c4a877bf3,0,9,12,6,31.147541,1.096154,6984.2017,16,19,0,2
